CHAS,RM,TAX,PTRATIO,B,LSTAT,PRICE
0.0,6.438,330.0,19.1,377.07,3.59,24.8
0.0,6.957,330.0,19.1,386.09,3.53,29.6
0.0,8.259,330.0,19.1,396.9,3.54,42.8
0.0,6.108,315.0,16.4,392.89,6.57,21.9
0.0,5.876,315.0,16.4,395.18,9.25,20.9
0.0,7.454,244.0,15.9,386.34,3.11,44.0
0.0,8.704,264.0,13.0,389.7,5.12,50.0
0.0,7.333,264.0,13.0,383.29,7.79,36.0
0.0,6.842,264.0,13.0,391.93,6.9,30.1
0.0,7.203,264.0,13.0,392.8,9.59,33.8
0.0,7.52,264.0,13.0,388.37,7.26,43.1
0.0,8.398,264.0,13.0,386.86,5.91,48.8
0.0,7.327,264.0,13.0,393.42,11.25,31.0
0.0,7.206,264.0,13.0,387.89,8.1,36.5
0.0,5.56,264.0,13.0,392.4,10.45,22.8
0.0,7.014,264.0,13.0,384.07,14.79,30.7
0.0,8.297,264.0,13.0,384.54,7.44,50.0
0.0,7.47,264.0,13.0,390.3,3.16,43.5
1.0,5.92,223.0,18.6,391.34,13.65,20.7
0.0,5.856,223.0,18.6,388.65,13.0,21.1
0.0,6.24,223.0,18.6,396.9,6.59,25.2
0.0,6.538,223.0,18.6,394.96,7.73,24.4
1.0,7.691,223.0,18.6,390.77,6.58,35.2
1.0,6.758,254.0,17.6,396.9,3.53,32.4
0.0,6.854,254.0,17.6,396.9,2.98,32.0
1.0,7.267,254.0,17.6,389.25,6.05,33.2
1.0,6.826,254.0,17.6,393.45,4.16,33.1
0.0,6.482,254.0,17.6,396.9,7.19,29.1
0.0,6.812,216.0,14.9,396.9,4.85,35.1
0.0,7.82,216.0,14.9,387.31,3.76,45.4
0.0,6.968,216.0,14.9,392.23,4.59,35.4
1.0,7.645,216.0,14.9,377.07,3.01,46.0
1.0,7.923,198.0,13.6,395.52,3.16,50.0
0.0,7.088,285.0,15.3,394.72,7.85,32.2
0.0,6.453,300.0,15.3,394.72,8.23,22.0
0.0,6.23,241.0,18.2,341.6,12.93,20.1
0.0,6.209,293.0,16.6,396.9,7.14,23.2
0.0,6.315,293.0,16.6,396.9,7.6,22.3
0.0,6.565,293.0,16.6,371.72,9.51,24.8
0.0,6.861,245.0,19.2,396.9,3.33,28.5
0.0,7.148,245.0,19.2,396.9,3.56,37.3
0.0,6.63,245.0,19.2,396.9,4.7,27.9
0.0,6.127,289.0,16.0,396.9,8.58,23.9
0.0,6.009,289.0,16.0,396.9,10.4,21.7
0.0,6.678,289.0,16.0,396.9,6.27,28.6
0.0,6.549,289.0,16.0,392.85,7.39,27.1
0.0,5.79,289.0,16.0,396.9,15.84,20.3
0.0,6.345,358.0,14.8,368.24,4.97,22.5
0.0,7.041,358.0,14.8,371.58,4.74,29.0
0.0,6.871,358.0,14.8,390.86,6.07,24.8
0.0,6.59,329.0,16.1,395.75,9.5,22.0
0.0,6.495,329.0,16.1,383.61,8.67,26.4
0.0,6.982,329.0,16.1,390.43,4.86,33.1
0.0,7.236,222.0,18.4,393.68,6.93,36.1
0.0,6.616,222.0,18.4,393.36,8.93,28.4
0.0,7.42,222.0,18.4,396.9,6.47,33.4
0.0,6.849,222.0,18.4,396.9,7.53,28.2
0.0,6.635,304.0,18.4,396.9,4.54,22.8
0.0,5.972,304.0,18.4,396.24,9.97,20.3
0.0,4.973,304.0,18.4,350.45,12.64,16.1
0.0,6.122,304.0,18.4,396.9,5.98,22.1
0.0,6.023,304.0,18.4,396.3,11.72,19.4
0.0,6.266,304.0,18.4,393.39,7.9,21.6
0.0,6.567,304.0,18.4,395.69,9.28,23.8
0.0,5.705,304.0,18.4,396.42,11.5,16.2
0.0,5.914,304.0,18.4,390.7,18.33,17.8
0.0,5.782,304.0,18.4,396.9,15.94,19.8
0.0,6.382,304.0,18.4,395.21,10.36,23.1
0.0,6.113,304.0,18.4,396.23,12.73,21.0
0.0,6.426,287.0,19.6,396.9,7.2,23.8
0.0,6.376,287.0,19.6,396.9,6.87,23.1
0.0,6.041,287.0,19.6,396.9,7.7,20.4
0.0,5.708,287.0,19.6,391.13,11.74,18.5
0.0,6.415,287.0,19.6,396.9,6.12,25.0
0.0,6.431,287.0,19.6,393.68,5.08,24.6
0.0,6.312,287.0,19.6,396.9,6.15,23.0
0.0,6.083,287.0,19.6,396.9,12.79,22.2
0.0,5.868,430.0,16.9,382.44,9.97,19.3
0.0,6.333,430.0,16.9,375.21,7.34,22.6
0.0,6.144,430.0,16.9,368.57,9.09,19.8
0.0,5.706,304.0,16.9,394.02,12.43,17.1
0.0,6.031,304.0,16.9,362.25,7.83,19.4
0.0,6.316,224.0,20.2,389.71,5.68,22.2
0.0,6.31,224.0,20.2,389.4,6.75,20.7
0.0,6.037,224.0,20.2,396.9,8.01,21.1
0.0,5.869,224.0,20.2,396.9,9.8,19.5
0.0,5.895,224.0,20.2,394.81,10.56,18.5
0.0,6.059,224.0,20.2,396.14,8.51,20.6
0.0,5.985,224.0,20.2,396.9,9.74,19.0
0.0,5.968,224.0,20.2,396.9,9.29,18.7
0.0,7.241,284.0,15.5,394.74,5.49,32.7
0.0,6.54,422.0,15.9,389.96,8.65,16.5
0.0,6.696,370.0,17.6,396.9,7.18,23.9
0.0,6.874,370.0,17.6,387.97,4.61,31.2
0.0,6.014,352.0,18.8,385.64,10.53,17.5
0.0,5.898,352.0,18.8,364.61,12.67,17.2
0.0,6.516,351.0,17.9,392.43,6.36,23.1
0.0,6.635,280.0,17.0,390.94,5.99,24.5
0.0,6.939,335.0,19.7,389.85,5.89,26.6
0.0,6.49,335.0,19.7,396.9,5.98,22.9
0.0,6.579,411.0,18.3,370.78,5.49,24.1
0.0,5.884,411.0,18.3,392.33,7.79,18.6
0.0,6.728,187.0,17.0,384.46,4.5,30.1
0.0,5.663,334.0,22.0,382.8,8.05,18.2
0.0,5.936,334.0,22.0,376.04,5.57,20.6
1.0,6.212,666.0,20.2,377.73,17.6,17.8
1.0,6.395,666.0,20.2,391.34,13.27,21.7
1.0,6.127,666.0,20.2,395.43,11.48,22.7
0.0,6.112,666.0,20.2,390.74,12.67,22.6
0.0,6.398,666.0,20.2,374.56,7.79,25.0
0.0,6.251,666.0,20.2,350.65,14.19,19.9
0.0,5.362,666.0,20.2,380.79,10.19,20.8
1.0,5.803,666.0,20.2,353.04,14.64,16.8
1.0,8.78,666.0,20.2,354.55,5.29,21.9
0.0,3.561,666.0,20.2,354.7,7.12,27.5
0.0,4.963,666.0,20.2,316.03,14.0,21.9
0.0,3.863,666.0,20.2,131.42,13.33,23.1
0.0,4.97,666.0,20.2,375.52,3.26,50.0
1.0,6.683,666.0,20.2,375.33,3.73,50.0
1.0,7.016,666.0,20.2,392.05,2.96,50.0
0.0,6.216,666.0,20.2,366.15,9.53,50.0
1.0,5.875,666.0,20.2,347.88,8.88,50.0
0.0,4.906,666.0,20.2,396.9,34.77,13.8
0.0,4.138,666.0,20.2,396.9,37.97,13.8
0.0,7.313,666.0,20.2,396.9,13.44,15.0
0.0,6.649,666.0,20.2,363.02,23.24,13.9
0.0,6.794,666.0,20.2,396.9,21.24,13.3
0.0,6.38,666.0,20.2,396.9,23.69,13.1
0.0,6.223,666.0,20.2,393.74,21.78,10.2
0.0,6.968,666.0,20.2,396.9,17.21,10.4
0.0,6.545,666.0,20.2,396.9,21.08,10.9
0.0,5.536,666.0,20.2,396.9,23.6,11.3
0.0,5.52,666.0,20.2,396.9,24.56,12.3
0.0,4.368,666.0,20.2,285.83,30.63,8.8
0.0,5.277,666.0,20.2,396.9,30.81,7.2
0.0,4.652,666.0,20.2,396.9,28.28,10.5
0.0,5.0,666.0,20.2,396.9,31.99,7.4
0.0,4.88,666.0,20.2,372.92,30.62,10.2
0.0,5.39,666.0,20.2,396.9,20.85,11.5
0.0,5.713,666.0,20.2,394.43,17.11,15.1
0.0,6.051,666.0,20.2,378.38,18.76,23.2
0.0,5.036,666.0,20.2,396.9,25.68,9.7
0.0,6.193,666.0,20.2,396.9,15.17,13.8
0.0,5.887,666.0,20.2,396.9,16.35,12.7
0.0,6.471,666.0,20.2,391.98,17.12,13.1
0.0,6.405,666.0,20.2,396.9,19.37,12.5
0.0,5.747,666.0,20.2,393.1,19.92,8.5
0.0,5.453,666.0,20.2,396.9,30.59,5.0
0.0,5.852,666.0,20.2,338.16,29.97,6.3
0.0,5.987,666.0,20.2,396.9,26.77,5.6
0.0,6.343,666.0,20.2,396.9,20.32,7.2
0.0,6.404,666.0,20.2,376.11,20.31,12.1
0.0,5.349,666.0,20.2,396.9,19.77,8.3
0.0,5.531,666.0,20.2,329.46,27.38,8.5
0.0,5.683,666.0,20.2,384.97,22.98,5.0
0.0,4.138,666.0,20.2,370.22,23.34,11.9
0.0,5.608,666.0,20.2,332.09,12.13,27.9
0.0,5.617,666.0,20.2,314.64,26.4,17.2
0.0,6.852,666.0,20.2,179.36,19.78,27.5
0.0,5.757,666.0,20.2,2.6,10.11,15.0
0.0,6.657,666.0,20.2,35.05,21.22,17.2
0.0,4.628,666.0,20.2,28.79,34.37,17.9
0.0,5.155,666.0,20.2,210.97,20.08,16.3
0.0,4.519,666.0,20.2,88.27,36.98,7.0
0.0,6.434,666.0,20.2,27.25,29.05,7.2
0.0,6.782,666.0,20.2,21.57,25.79,7.5
0.0,5.304,666.0,20.2,127.36,26.64,10.4
0.0,5.957,666.0,20.2,16.45,20.62,8.8
0.0,6.824,666.0,20.2,48.45,22.74,8.4
0.0,6.411,666.0,20.2,318.75,15.02,16.7
0.0,6.006,666.0,20.2,319.98,15.7,14.2
0.0,5.648,666.0,20.2,291.55,14.1,20.8
0.0,6.103,666.0,20.2,2.52,23.29,13.4
0.0,5.565,666.0,20.2,3.65,17.16,11.7
0.0,5.896,666.0,20.2,7.68,24.39,8.3
0.0,5.837,666.0,20.2,24.65,15.69,10.2
0.0,6.202,666.0,20.2,18.82,14.52,10.9
0.0,6.193,666.0,20.2,96.73,21.52,11.0
0.0,6.38,666.0,20.2,60.72,24.08,9.5
0.0,6.348,666.0,20.2,83.45,17.64,14.5
0.0,6.833,666.0,20.2,81.33,19.69,14.1
0.0,6.425,666.0,20.2,97.95,12.03,16.1
0.0,6.436,666.0,20.2,100.19,16.22,14.3
0.0,6.208,666.0,20.2,100.63,15.17,11.7
0.0,6.629,666.0,20.2,109.85,23.27,13.4
0.0,6.461,666.0,20.2,27.49,18.05,9.6
0.0,6.152,666.0,20.2,9.32,26.45,8.7
0.0,5.935,666.0,20.2,68.95,34.02,8.4
0.0,5.627,666.0,20.2,396.9,22.88,12.8
0.0,5.818,666.0,20.2,391.45,22.11,10.5
0.0,6.406,666.0,20.2,385.96,19.52,17.1
0.0,6.219,666.0,20.2,395.69,16.59,18.4
0.0,6.485,666.0,20.2,386.73,18.85,15.4
0.0,5.854,666.0,20.2,240.52,23.79,10.8
0.0,6.459,666.0,20.2,43.06,23.98,11.8
0.0,6.341,666.0,20.2,318.01,17.79,14.9
0.0,6.251,666.0,20.2,388.52,16.44,12.6
0.0,6.185,666.0,20.2,396.9,18.13,14.1
0.0,6.417,666.0,20.2,304.21,19.31,13.0
0.0,6.749,666.0,20.2,0.32,17.44,13.4
0.0,6.655,666.0,20.2,355.29,17.73,15.2
0.0,6.297,666.0,20.2,385.09,17.27,16.1
0.0,7.393,666.0,20.2,375.87,16.74,17.8
0.0,6.728,666.0,20.2,6.68,18.71,14.9
0.0,6.525,666.0,20.2,50.92,18.13,14.1
0.0,5.976,666.0,20.2,10.48,19.01,12.7
0.0,5.936,666.0,20.2,3.5,16.94,13.5
0.0,6.301,666.0,20.2,272.21,16.23,14.9
0.0,6.081,666.0,20.2,396.9,14.7,20.0
0.0,6.701,666.0,20.2,255.23,16.42,16.4
0.0,6.376,666.0,20.2,391.43,14.65,17.7
0.0,6.317,666.0,20.2,396.9,13.99,19.5
0.0,6.513,666.0,20.2,393.82,10.29,20.2
0.0,6.209,666.0,20.2,396.9,13.22,21.4
0.0,5.759,666.0,20.2,334.4,14.13,19.9
0.0,5.952,666.0,20.2,22.01,17.15,19.0
0.0,6.003,666.0,20.2,331.29,21.32,19.1
0.0,5.926,666.0,20.2,368.74,18.13,19.1
0.0,5.713,666.0,20.2,396.9,14.76,20.1
0.0,6.167,666.0,20.2,396.9,16.29,19.9
0.0,6.229,666.0,20.2,395.33,12.87,19.6
0.0,6.437,666.0,20.2,393.37,14.36,23.2
0.0,6.98,666.0,20.2,374.68,11.66,29.8
0.0,5.427,666.0,20.2,352.58,18.14,13.8
0.0,6.162,666.0,20.2,302.76,24.1,13.3
0.0,6.484,666.0,20.2,396.21,18.68,16.7
0.0,5.304,666.0,20.2,349.48,24.91,12.0
0.0,6.185,666.0,20.2,379.7,18.03,14.6
0.0,6.229,666.0,20.2,383.32,13.11,21.4
0.0,6.242,666.0,20.2,396.9,10.74,23.0
0.0,6.75,666.0,20.2,393.07,7.74,23.7
0.0,7.061,666.0,20.2,395.28,7.01,25.0
0.0,5.762,666.0,20.2,392.92,10.42,21.8
0.0,5.871,666.0,20.2,370.73,13.34,20.6
0.0,6.312,666.0,20.2,388.62,10.58,21.2
0.0,6.114,666.0,20.2,392.68,14.98,19.1
0.0,5.905,666.0,20.2,388.22,11.45,20.6
0.0,5.454,711.0,20.1,395.09,18.06,15.2
0.0,5.414,711.0,20.1,344.05,23.97,7.0
0.0,5.093,711.0,20.1,318.43,29.68,8.1
0.0,5.983,711.0,20.1,390.11,18.07,13.6
0.0,5.983,711.0,20.1,396.9,13.35,20.1
0.0,5.707,391.0,19.2,396.9,12.01,21.8
0.0,5.926,391.0,19.2,396.9,13.59,24.5
0.0,5.67,391.0,19.2,393.29,17.6,23.1
0.0,5.39,391.0,19.2,396.9,21.14,19.7
0.0,5.794,391.0,19.2,396.9,14.1,18.3
0.0,6.019,391.0,19.2,396.9,12.92,21.2
0.0,5.569,391.0,19.2,395.77,15.1,17.5
0.0,6.027,391.0,19.2,396.9,14.33,16.8
0.0,6.593,273.0,21.0,391.99,9.67,22.4
0.0,6.12,273.0,21.0,396.9,9.08,20.6
0.0,6.976,273.0,21.0,396.9,5.64,23.9
0.0,6.794,273.0,21.0,393.45,6.48,22.0
0.0,6.03,273.0,21.0,396.9,7.88,11.9
